epoch,train_loss,normal_val_loss,learning_rate,epoch_duration_seconds
1,-163000.7183125,-830666.89375,0.0003666666666666668,20.549497199999678
2,-976556.11,-1197288.20625,0.0006833333333333335,20.2581584999989
3,-1244726.1225,-1405010.071875,0.001,20.293678300000465
4,-1460046.066,-1553040.10625,0.0009966225596921006,20.458271100000275
5,-1587479.738,-1694150.59375,0.000986535912854621,20.40051780000067
6,-1742866.047,-1758655.46875,0.0009698764640825605,20.453762400000414
7,-1816378.434,-1923795.05625,0.0009468695038415435,20.579114399999526
8,-1922572.943,-2001865.79375,0.0009178261618007609,20.600235700001576
9,-2010670.135,-2109212.0375,0.0008831391993379289,20.637184100000013
10,-2093224.563,-2130746.29375,0.0008432776981154312,20.62657769999896
11,-2150934.726,-2279387.09375,0.0007987807165555395,20.64789810000002
12,-2228923.131,-2306046.01875,0.000750249999999998,20.709352100000615
13,-2308233.725,-2418294.9375,0.0006983418431365557,20.72295810000105
14,-2370794.274,-2424209.225,0.0006437582147391877,20.716402000000016
15,-2447853.968,-2485679.575,0.00058723726474463,20.688960600000428
16,-2499890.655,-2585719.19375,0.0005295433420407806,20.740205699999933
17,-2573262.43,-2598374.9,0.00047145665795921536,20.69674589999886
18,-2620659.402,-2720514.2125,0.0004137627352553672,20.687874499999452
19,-2680849.308,-2733856.1375,0.00035724178526080967,20.766906400000153
20,-2720630.506,-2776832.925,0.0003026581568634405,20.733792499999254
21,-2761173.668,-2819876.0875,0.0002507499999999994,20.725753000000623
22,-2800429.938,-2874791.8,0.0002022192834444582,20.71874679999928
23,-2824030.372,-2879272.15,0.00015772230188456743,20.706867200000488
24,-2863742.616,-2914895.7125,0.00011786080066207032,20.769293299999845
25,-2888670.886,-2929034.5375,8.317383819923811e-05,20.697191799999928
26,-2910501.906,-2949129.25,5.413049615845548e-05,20.748954999999114
27,-2927088.41,-2951452.4625,3.112353591743872e-05,20.71440469999834
28,-2935959.086,-2962526.125,1.4464087145377964e-05,20.73525900000095
29,-2941509.168,-2964408.25,4.377440307899447e-06,20.7127588000003
30,-2943755.61,-2965243.3,1e-06,20.727767200000017
