path,source_group,object_group,source_date,label,score_top_1,score_top_74,score_top_147,score_top_369,score_top_737,score_top_1475,score_top_3686,score_top_7373,score_top_9216,score_top_14746,score_top_29491,score_top_49152,score_top_73728,score_top_147456
anomalies/objects_parts/2025-08-06_11-33-04_L0412_1_tile_1728_2304.png,anomaly:2025-08-06_11-33-04_L0412_1,anomaly:2025-08-06_11-33-04_L0412_1,2025-08-06_11-33-04,1,-0.3515416085720062,-0.37435755133628845,-0.3817342221736908,-0.3892512619495392,-0.3943953514099121,-0.4006165862083435,-0.4130701422691345,-0.4264604151248932,-0.4309656023979187,-0.4406436085700989,-0.45568594336509705,-0.46873223781585693,-0.4812096953392029,-0.5223924517631531
anomalies/objects_parts/2025-08-06_11-33-04_L0412_1_tile_1920_2304.png,anomaly:2025-08-06_11-33-04_L0412_1,anomaly:2025-08-06_11-33-04_L0412_1,2025-08-06_11-33-04,1,-0.36683982610702515,-0.3799952268600464,-0.3828558921813965,-0.388105571269989,-0.393818199634552,-0.4006098210811615,-0.41099444031715393,-0.42097923159599304,-0.4245133101940155,-0.43255889415740967,-0.44613730907440186,-0.4576653242111206,-0.46875831484794617,-0.5052543878555298
anomalies/objects_parts/2025-08-08_14-09-52_L0128_1_tile_1728_1728.png,anomaly:2025-08-08_14-09-52_L0128_1,anomaly:2025-08-08_14-09-52_L0128_1,2025-08-08_14-09-52,1,-0.37346163392066956,-0.40487411618232727,-0.41723087430000305,-0.42946338653564453,-0.4364815056324005,-0.4438958168029785,-0.4556533396244049,-0.4659830331802368,-0.469788134098053,-0.4788217842578888,-0.49513763189315796,-0.5094420909881592,-0.5217834115028381,-0.5518211126327515
anomalies/objects_parts/2025-08-08_14-09-52_L0128_1_tile_1728_2304.png,anomaly:2025-08-08_14-09-52_L0128_1,anomaly:2025-08-08_14-09-52_L0128_1,2025-08-08_14-09-52,1,-0.3857712149620056,-0.4073062241077423,-0.4121585190296173,-0.4185059070587158,-0.42340344190597534,-0.42918530106544495,-0.4381684362888336,-0.44643789529800415,-0.44957515597343445,-0.457256555557251,-0.47172918915748596,-0.4856935739517212,-0.5005826354026794,-0.5433464050292969
anomalies/objects_parts/2025-08-08_14-09-52_L0128_1_tile_1728_960.png,anomaly:2025-08-08_14-09-52_L0128_1,anomaly:2025-08-08_14-09-52_L0128_1,2025-08-08_14-09-52,1,-0.39239996671676636,-0.41070255637168884,-0.4169448912143707,-0.4266039729118347,-0.4344722628593445,-0.44259166717529297,-0.45424962043762207,-0.4637884795665741,-0.46692895889282227,-0.47371163964271545,-0.4842755198478699,-0.49309495091438293,-0.5017862319946289,-0.5393174290657043
anomalies/objects_parts/2025-08-08_14-09-52_L0128_1_tile_1920_1536.png,anomaly:2025-08-08_14-09-52_L0128_1,anomaly:2025-08-08_14-09-52_L0128_1,2025-08-08_14-09-52,1,-0.41635650396347046,-0.42584028840065,-0.42834657430648804,-0.4327641427516937,-0.43760737776756287,-0.44464561343193054,-0.4552430808544159,-0.4652194678783417,-0.4686993360519409,-0.47658854722976685,-0.4898666441440582,-0.5007795691490173,-0.5103579163551331,-0.5368424654006958
anomalies/objects_parts/2025-08-08_14-09-52_L0128_1_tile_1920_1728.png,anomaly:2025-08-08_14-09-52_L0128_1,anomaly:2025-08-08_14-09-52_L0128_1,2025-08-08_14-09-52,1,-0.39503756165504456,-0.4179602265357971,-0.42717382311820984,-0.43861499428749084,-0.4459020793437958,-0.45271173119544983,-0.46201708912849426,-0.46984392404556274,-0.4728375971317291,-0.4803304672241211,-0.49358513951301575,-0.5044530630111694,-0.5142090320587158,-0.5414181351661682
anomalies/objects_parts/2025-08-08_14-09-52_L0128_1_tile_1920_960.png,anomaly:2025-08-08_14-09-52_L0128_1,anomaly:2025-08-08_14-09-52_L0128_1,2025-08-08_14-09-52,1,-0.3815855383872986,-0.39258280396461487,-0.3966224193572998,-0.4024711549282074,-0.4075658917427063,-0.41370633244514465,-0.42390087246894836,-0.43303781747817993,-0.436212420463562,-0.44331350922584534,-0.455462247133255,-0.4662962853908539,-0.4764971137046814,-0.5077202320098877
anomalies/objects_parts/2025-08-08_14-09-52_L0128_1_tile_2496_1728.png,anomaly:2025-08-08_14-09-52_L0128_1,anomaly:2025-08-08_14-09-52_L0128_1,2025-08-08_14-09-52,1,-0.407685786485672,-0.42008575797080994,-0.4244730770587921,-0.43114426732063293,-0.4367251694202423,-0.4433107078075409,-0.4532009959220886,-0.46138831973075867,-0.46419063210487366,-0.4706011414527893,-0.48210546374320984,-0.4925616979598999,-0.5028576254844666,-0.5345543026924133
anomalies/objects_parts/2025-08-08_14-09-52_L0128_1_tile_2496_2304.png,anomaly:2025-08-08_14-09-52_L0128_1,anomaly:2025-08-08_14-09-52_L0128_1,2025-08-08_14-09-52,1,-0.38664770126342773,-0.3942353129386902,-0.3996637165546417,-0.4104534089565277,-0.4200354218482971,-0.4298447370529175,-0.44366711378097534,-0.45436203479766846,-0.4579513370990753,-0.4657006561756134,-0.4779388904571533,-0.48838841915130615,-0.497947633266449,-0.5273009538650513
