path,canonical_path,split,class_name,label,source_date,source_group,sha256,width,height,mode
val/good/141_obj11_tile_3048_1521.png,training/2025-06-25_test/objects_parts/141_obj11_tile_3048_1521.png,val,good,0,2025-06-25_test,normal:2025-06-25_test:141_obj11,bdcf7a852ac8cad8ad543f67e0305bdb47ffce0f0ddba10a48cd36c8a0f88357,384,384,RGB
val/good/141_obj11_tile_3240_1521.png,training/2025-06-25_test/objects_parts/141_obj11_tile_3240_1521.png,val,good,0,2025-06-25_test,normal:2025-06-25_test:141_obj11,a60cca3c92afb8c0d312b54253254b77a2279ae5a71ef35e61566f5630459151,384,384,RGB
val/good/141_obj13_tile_2154_880.png,training/2025-06-25_test/objects_parts/141_obj13_tile_2154_880.png,val,good,0,2025-06-25_test,normal:2025-06-25_test:141_obj13,4b888305a21c57edfe0826257f57e4867f0e9bc1cd017ba41a7a277c0335176a,384,384,RGB
val/good/141_obj9_tile_2410_1714.png,training/2025-06-25_test/objects_parts/141_obj9_tile_2410_1714.png,val,good,0,2025-06-25_test,normal:2025-06-25_test:141_obj9,578e5a0a56cde93f7f916f0f52556a8ca267ddefd897e1ea1ef562e71dc50217,384,384,RGB
val/good/141_obj9_tile_2602_1906.png,training/2025-06-25_test/objects_parts/141_obj9_tile_2602_1906.png,val,good,0,2025-06-25_test,normal:2025-06-25_test:141_obj9,3b6391736f6be880937341bacf40f3e7f4e5467ebd1238e7560128468b441d13,384,384,RGB
val/good/178_obj32_centered.png,training/2025-02-07_test/objects_parts/178_obj32_centered.png,val,good,0,2025-02-07_test,normal:2025-02-07_test:178_obj32,7496ad5438ed653b4331d08ea4f77e989ef28d90ba75dd649bee982e63a6a2f4,384,384,RGB
val/good/32_obj11_tile_3449_1513.png,training/2025-06-25_test/objects_parts/32_obj11_tile_3449_1513.png,val,good,0,2025-06-25_test,normal:2025-06-25_test:32_obj11,c24d0dbc4d074d3e31a9aeb55ad7d5514acdca09534e66c91769f0321c90d91f,384,384,RGB
val/good/32_obj1_tile_1985_2539.png,training/2025-06-25_test/objects_parts/32_obj1_tile_1985_2539.png,val,good,0,2025-06-25_test,normal:2025-06-25_test:32_obj1,df2a50162cfa53504c8c16a7e6c9c401739cbd902a01fdc7698a6c41700a0eb1,384,384,RGB
val/good/32_obj5_tile_3066_2539.png,training/2025-06-25_test/objects_parts/32_obj5_tile_3066_2539.png,val,good,0,2025-06-25_test,normal:2025-06-25_test:32_obj5,7d6318d1dfb09c6ca0ac939ec10ff32ef5bca4f437c612c2a021de7e7b8aa7ce,384,384,RGB
val/good/32_obj7_tile_1978_1898.png,training/2025-06-25_test/objects_parts/32_obj7_tile_1978_1898.png,val,good,0,2025-06-25_test,normal:2025-06-25_test:32_obj7,cf56f40d728242bd2c0f56bb1e4a1025388477418d5fa8c6882427e79741f81e,384,384,RGB
val/good/344_obj24_centered.png,training/2025-02-07_test/objects_parts/344_obj24_centered.png,val,good,0,2025-02-07_test,normal:2025-02-07_test:344_obj24,dc5103ddcf540856f02e4c496fc3f37a2de15fae4c0a3ce7a5c81cd52c695061,384,384,RGB
val/good/60_obj16_centered.png,training/2025-02-07_test/objects_parts/60_obj16_centered.png,val,good,0,2025-02-07_test,normal:2025-02-07_test:60_obj16,00a04de385695954371901229e62611853801c7cd786a01cb2d70afb7ce5687a,384,384,RGB
val/good/60_obj59_centered.png,training/2025-02-07_test/objects_parts/60_obj59_centered.png,val,good,0,2025-02-07_test,normal:2025-02-07_test:60_obj59,d42fafc2a5e13a2510faed98ee24afada4c003b1b19aa364c83ca89a93c92a95,384,384,RGB
